TIMESTAMP,solar_TIMESTAMP,PRT_LEZ_ARN_Qsu_Js_1,PRT_LEZ_ARN_Qsu_Js_2,PRT_LEZ_ARN_Qsu_Js_3,PRT_LEZ_ARN_Qsu_Js_4
2007-01-31T01:00:00Z,2007-01-31T00:11:16Z,NA,NA,NA,NA
2007-01-31T02:00:00Z,2007-01-31T01:11:16Z,NA,NA,NA,NA
2007-01-31T03:00:00Z,2007-01-31T02:11:16Z,NA,NA,NA,NA
2007-01-31T04:00:00Z,2007-01-31T03:11:16Z,NA,NA,NA,NA
2007-01-31T05:00:00Z,2007-01-31T04:11:16Z,NA,NA,NA,NA
2007-01-31T06:00:00Z,2007-01-31T05:11:16Z,NA,NA,NA,NA
2007-01-31T07:00:00Z,2007-01-31T06:11:16Z,NA,NA,NA,NA
2007-01-31T08:00:00Z,2007-01-31T07:11:16Z,NA,NA,NA,NA
2007-01-31T09:00:00Z,2007-01-31T08:11:16Z,NA,NA,NA,NA
2007-01-31T10:00:00Z,2007-01-31T09:11:16Z,NA,NA,NA,NA
2007-01-31T11:00:00Z,2007-01-31T10:11:16Z,NA,NA,NA,NA
2007-01-31T12:00:00Z,2007-01-31T11:11:16Z,NA,NA,NA,NA
2007-01-31T13:00:00Z,2007-01-31T12:11:16Z,NA,NA,NA,NA
2007-01-31T14:00:00Z,2007-01-31T13:11:16Z,NA,NA,NA,NA
2007-01-31T15:00:00Z,2007-01-31T14:11:16Z,NA,NA,NA,NA
2007-01-31T16:00:00Z,2007-01-31T15:11:16Z,NA,NA,NA,NA
2007-01-31T17:00:00Z,2007-01-31T16:11:16Z,NA,NA,NA,NA
2007-01-31T18:00:00Z,2007-01-31T17:11:16Z,NA,NA,NA,NA
2007-01-31T19:00:00Z,2007-01-31T18:11:16Z,NA,NA,NA,NA
2007-01-31T20:00:00Z,2007-01-31T19:11:16Z,NA,NA,NA,NA
2007-01-31T21:00:00Z,2007-01-31T20:11:16Z,NA,NA,NA,NA
2007-01-31T22:00:00Z,2007-01-31T21:11:16Z,NA,NA,NA,NA
2007-01-31T23:00:00Z,2007-01-31T22:11:16Z,NA,NA,NA,NA
2007-02-01T00:00:00Z,2007-01-31T23:11:16Z,NA,NA,NA,NA
2007-02-01T01:00:00Z,2007-02-01T00:11:08Z,NA,NA,NA,NA
2007-02-01T02:00:00Z,2007-02-01T01:11:08Z,NA,NA,NA,NA
2007-02-01T03:00:00Z,2007-02-01T02:11:08Z,NA,NA,NA,NA
2007-02-01T04:00:00Z,2007-02-01T03:11:08Z,NA,NA,NA,NA
2007-02-01T05:00:00Z,2007-02-01T04:11:08Z,NA,NA,NA,NA
2007-02-01T06:00:00Z,2007-02-01T05:11:08Z,NA,NA,NA,NA
2007-02-01T07:00:00Z,2007-02-01T06:11:08Z,NA,NA,NA,NA
2007-02-01T08:00:00Z,2007-02-01T07:11:08Z,NA,NA,NA,NA
2007-02-01T09:00:00Z,2007-02-01T08:11:08Z,NA,NA,NA,NA
2007-02-01T10:00:00Z,2007-02-01T09:11:08Z,NA,NA,NA,NA
2007-02-01T11:00:00Z,2007-02-01T10:11:08Z,NA,NA,NA,NA
2007-02-01T12:00:00Z,2007-02-01T11:11:08Z,NA,NA,NA,NA
2007-02-01T13:00:00Z,2007-02-01T12:11:08Z,NA,NA,NA,NA
2007-02-01T14:00:00Z,2007-02-01T13:11:08Z,NA,NA,NA,NA
2007-02-01T15:00:00Z,2007-02-01T14:11:08Z,NA,NA,NA,NA
2007-02-01T16:00:00Z,2007-02-01T15:11:08Z,NA,NA,NA,NA
2007-02-01T17:00:00Z,2007-02-01T16:11:08Z,NA,NA,NA,NA
2007-02-01T18:00:00Z,2007-02-01T17:11:08Z,NA,NA,NA,NA
2007-02-01T19:00:00Z,2007-02-01T18:11:08Z,NA,NA,NA,NA
2007-02-01T20:00:00Z,2007-02-01T19:11:08Z,NA,NA,NA,NA
2007-02-01T21:00:00Z,2007-02-01T20:11:08Z,NA,NA,NA,NA
2007-02-01T22:00:00Z,2007-02-01T21:11:08Z,NA,NA,NA,NA
2007-02-01T23:00:00Z,2007-02-01T22:11:08Z,NA,NA,NA,NA
2007-02-02T00:00:00Z,2007-02-01T23:11:08Z,NA,NA,NA,NA
2007-02-02T01:00:00Z,2007-02-02T00:11:01Z,NA,NA,NA,NA
2007-02-02T02:00:00Z,2007-02-02T01:11:01Z,NA,NA,NA,NA
2007-02-02T03:00:00Z,2007-02-02T02:11:01Z,NA,NA,NA,NA
2007-02-02T04:00:00Z,2007-02-02T03:11:01Z,NA,NA,NA,NA
2007-02-02T05:00:00Z,2007-02-02T04:11:01Z,NA,NA,NA,NA
2007-02-02T06:00:00Z,2007-02-02T05:11:01Z,NA,NA,NA,NA
2007-02-02T07:00:00Z,2007-02-02T06:11:01Z,NA,NA,NA,NA
2007-02-02T08:00:00Z,2007-02-02T07:11:01Z,NA,NA,NA,NA
2007-02-02T09:00:00Z,2007-02-02T08:11:01Z,NA,NA,NA,NA
2007-02-02T10:00:00Z,2007-02-02T09:11:01Z,NA,NA,NA,NA
2007-02-02T11:00:00Z,2007-02-02T10:11:01Z,NA,NA,NA,NA
2007-02-02T12:00:00Z,2007-02-02T11:11:01Z,NA,NA,NA,NA
2007-02-02T13:00:00Z,2007-02-02T12:11:01Z,NA,NA,NA,NA
2007-02-02T14:00:00Z,2007-02-02T13:11:01Z,NA,NA,NA,NA
2007-02-02T15:00:00Z,2007-02-02T14:11:01Z,NA,NA,NA,NA
2007-02-02T16:00:00Z,2007-02-02T15:11:01Z,NA,NA,NA,NA
2007-02-02T17:00:00Z,2007-02-02T16:11:01Z,NA,NA,NA,NA
2007-02-02T18:00:00Z,2007-02-02T17:11:01Z,NA,NA,NA,NA
2007-02-02T19:00:00Z,2007-02-02T18:11:01Z,NA,NA,NA,NA
2007-02-02T20:00:00Z,2007-02-02T19:11:01Z,NA,NA,NA,NA
2007-02-02T21:00:00Z,2007-02-02T20:11:01Z,NA,NA,NA,NA
2007-02-02T22:00:00Z,2007-02-02T21:11:01Z,NA,NA,NA,NA
2007-02-02T23:00:00Z,2007-02-02T22:11:01Z,NA,NA,NA,NA
2007-02-03T00:00:00Z,2007-02-02T23:11:01Z,NA,NA,NA,NA
2007-02-03T01:00:00Z,2007-02-03T00:10:55Z,NA,NA,NA,NA
2007-02-03T02:00:00Z,2007-02-03T01:10:55Z,NA,NA,NA,NA
2007-02-03T03:00:00Z,2007-02-03T02:10:55Z,NA,NA,NA,NA
2007-02-03T04:00:00Z,2007-02-03T03:10:55Z,NA,NA,NA,NA
2007-02-03T05:00:00Z,2007-02-03T04:10:55Z,NA,NA,NA,NA
2007-02-03T06:00:00Z,2007-02-03T05:10:55Z,NA,NA,NA,NA
2007-02-03T07:00:00Z,2007-02-03T06:10:55Z,NA,NA,NA,NA
2007-02-03T08:00:00Z,2007-02-03T07:10:55Z,NA,NA,NA,NA
2007-02-03T09:00:00Z,2007-02-03T08:10:55Z,NA,NA,NA,NA
2007-02-03T10:00:00Z,2007-02-03T09:10:55Z,NA,NA,NA,NA
2007-02-03T11:00:00Z,2007-02-03T10:10:55Z,NA,NA,NA,NA
2007-02-03T12:00:00Z,2007-02-03T11:10:55Z,NA,NA,NA,NA
2007-02-03T13:00:00Z,2007-02-03T12:10:55Z,NA,NA,NA,NA
2007-02-03T14:00:00Z,2007-02-03T13:10:55Z,NA,NA,NA,NA
2007-02-03T15:00:00Z,2007-02-03T14:10:55Z,NA,NA,NA,NA
2007-02-03T16:00:00Z,2007-02-03T15:10:55Z,NA,NA,NA,NA
2007-02-03T17:00:00Z,2007-02-03T16:10:55Z,NA,NA,NA,NA
2007-02-03T18:00:00Z,2007-02-03T17:10:55Z,NA,NA,NA,NA
2007-02-03T19:00:00Z,2007-02-03T18:10:55Z,NA,NA,NA,NA
2007-02-03T20:00:00Z,2007-02-03T19:10:55Z,NA,NA,NA,NA
2007-02-03T21:00:00Z,2007-02-03T20:10:55Z,NA,NA,NA,NA
2007-02-03T22:00:00Z,2007-02-03T21:10:55Z,NA,NA,NA,NA
2007-02-03T23:00:00Z,2007-02-03T22:10:55Z,NA,NA,NA,NA
2007-02-04T00:00:00Z,2007-02-03T23:10:55Z,NA,NA,NA,NA
2007-02-04T01:00:00Z,2007-02-04T00:10:50Z,NA,NA,NA,NA
2007-02-04T02:00:00Z,2007-02-04T01:10:50Z,NA,NA,NA,NA
2007-02-04T03:00:00Z,2007-02-04T02:10:50Z,NA,NA,NA,NA
2007-02-04T04:00:00Z,2007-02-04T03:10:50Z,NA,NA,NA,NA
2007-02-04T05:00:00Z,2007-02-04T04:10:50Z,NA,NA,NA,NA
2007-02-04T06:00:00Z,2007-02-04T05:10:50Z,NA,NA,NA,NA
2007-02-04T07:00:00Z,2007-02-04T06:10:50Z,NA,NA,NA,NA
2007-02-04T08:00:00Z,2007-02-04T07:10:50Z,NA,NA,NA,NA
2007-02-04T09:00:00Z,2007-02-04T08:10:50Z,NA,NA,NA,NA
2007-02-04T10:00:00Z,2007-02-04T09:10:50Z,NA,NA,NA,NA
2007-02-04T11:00:00Z,2007-02-04T10:10:50Z,NA,NA,NA,NA
2007-02-04T12:00:00Z,2007-02-04T11:10:50Z,NA,NA,NA,NA
2007-02-04T13:00:00Z,2007-02-04T12:10:50Z,NA,NA,NA,NA
