TIMESTAMP,solar_TIMESTAMP,THA_KHU_Hbr_Js_1,THA_KHU_Hbr_Js_2,THA_KHU_Hbr_Js_3,THA_KHU_Hbr_Js_4,THA_KHU_Hbr_Js_5,THA_KHU_Hbr_Js_6
2006-12-14T17:00:00Z,2006-12-14T23:55:57Z,367.3130666666667,129.75986666666665,298.6458,1171.8009333333334,654.4512,527.1385333333334
2006-12-14T17:30:00Z,2006-12-15T00:25:30Z,315.6596666666667,114.49399999999999,304.5016,1152.4855333333333,666.5706666666666,531.9746666666667
2006-12-14T18:00:00Z,2006-12-15T00:55:30Z,321.39893333333333,103.0446,310.3574,1158.924,678.6901333333333,527.1385333333333
2006-12-14T18:30:00Z,2006-12-15T01:25:30Z,361.57379999999995,110.67753333333334,339.6364,1171.8009333333334,678.6901333333333,541.6469333333333
2006-12-14T19:00:00Z,2006-12-15T01:55:30Z,355.8345333333333,129.75986666666668,327.9248,1203.9932666666666,696.8693333333333,556.1553333333333
2006-12-14T19:30:00Z,2006-12-15T02:25:30Z,298.44186666666667,125.94340000000001,298.6458,1203.9932666666666,672.6304000000002,565.8276
2006-12-14T20:00:00Z,2006-12-15T02:55:30Z,338.61673333333334,125.9434,298.6458,1216.8702,684.7498666666668,570.6637333333333
2006-12-14T20:30:00Z,2006-12-15T03:25:30Z,361.57379999999995,125.94340000000001,357.2038,1242.6240666666667,690.8096,565.8276
2006-12-14T21:00:00Z,2006-12-15T03:55:30Z,390.2701333333333,133.57633333333334,327.9248,1223.308666666667,757.4666666666667,604.5166666666667
2006-12-14T21:30:00Z,2006-12-15T04:25:30Z,367.3130666666666,145.02573333333333,357.2038,1274.8164,745.3471999999999,628.6973333333334
2006-12-14T22:00:00Z,2006-12-15T04:55:30Z,373.0523333333333,175.55746666666664,327.9248,1313.4472000000003,787.7653333333333,623.8611999999999
2006-12-14T22:30:00Z,2006-12-15T05:25:30Z,418.96646666666663,152.65866666666668,327.9248,1287.6933333333332,763.5264,619.0250666666667
2006-12-14T23:00:00Z,2006-12-15T05:55:30Z,470.6198666666668,164.1080666666667,345.49219999999997,1339.2010666666667,805.9445333333332,628.6973333333334
2006-12-14T23:30:00Z,2006-12-15T06:25:30Z,464.8806000000001,160.29160000000002,345.49219999999997,1332.7625999999998,805.9445333333332,633.5334666666666
