TIMESTAMP,GUF_GUY_ST2_Dgu_Js_1,GUF_GUY_ST2_Dgu_Js_2,GUF_GUY_ST2_Dgu_Js_3,GUF_GUY_ST2_Dgu_Js_4,GUF_GUY_ST2_Vsp_Js_5,GUF_GUY_ST2_Oas_Js_6,GUF_GUY_ST2_Oas_Js_7,GUF_GUY_ST2_Rsp_Js_8,GUF_GUY_ST2_Ssp_Js_9,GUF_GUY_ST2_Vam_Js_10,GUF_GUY_ST2_Ggl_Js_11,interpolated
2008-01-01 03:00:00+00:00,,,,,,,,,,,,False
2008-01-01 03:30:00+00:00,,,,,,,,,,,,False
2008-01-01 04:00:00+00:00,,,,,,,,,,,,False
2008-01-01 04:30:00+00:00,,,,,,,,,,,,False
2008-01-01 05:00:00+00:00,,,,,,,,,,,,False
2008-01-01 05:30:00+00:00,,,,,,,,,,,,False
2008-01-01 06:00:00+00:00,,,,,,,,,,,,False
2008-01-01 06:30:00+00:00,,,,,,,,,,,,False
2008-01-01 07:00:00+00:00,,,,,,,,,,,,False
2008-01-01 07:30:00+00:00,,,,,,,,,,,,False
2008-01-01 08:00:00+00:00,,,,,,,,,,,,False
2008-01-01 08:30:00+00:00,,,,,,,,,,,,False
2008-01-01 09:00:00+00:00,,,,,,,,,,,,False
2008-01-01 09:30:00+00:00,,,,,,,,,,,,False
2008-01-01 10:00:00+00:00,,,,,,,,,,,,False
2008-01-01 10:30:00+00:00,,,,,,,,,,,,False
2008-01-01 11:00:00+00:00,,,,,,,,,,,,False
2008-01-01 11:30:00+00:00,,,,,,,,,,,,False
2008-01-01 12:00:00+00:00,,,,,,,,,,,,False
2008-01-01 12:30:00+00:00,,,,,,,,,,,,False
2008-01-01 13:00:00+00:00,,,,,,,,,,,,False
2008-01-01 13:30:00+00:00,,,,,,,,,,,,False
2008-01-01 14:00:00+00:00,,,,,,,,,,,,False
2008-01-01 14:30:00+00:00,,,,,,,,,,,,False
2008-01-01 15:00:00+00:00,,,,,,,,,,,,False
2008-01-01 15:30:00+00:00,,,,,,,,,,,,False
2008-01-01 16:00:00+00:00,,,,,,,,,,,,False
2008-01-01 16:30:00+00:00,,,,,,,,,,,,False
