TIMESTAMP,USA_WVF_Aru_Js_1,USA_WVF_Aru_Js_2,USA_WVF_Asa_Js_3,USA_WVF_Pse_Js_4,USA_WVF_Qal_Js_5,USA_WVF_Qal_Js_6,USA_WVF_Qru_Js_7,USA_WVF_Qru_Js_8,interpolated
1998-03-25 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1998-03-25 15:30:00+00:00,,,,,,,,,False
1998-03-25 16:00:00+00:00,,,,,,,,,False
1998-03-25 16:30:00+00:00,,,,,,,,,False
1998-03-25 17:00:00+00:00,,,,,,,,,False
1998-03-25 17:30:00+00:00,,,,,,,,,False
1998-03-25 18:00:00+00:00,,,,,,,,,False
1998-03-25 18:30:00+00:00,,,,,,,,,False
1998-03-25 19:00:00+00:00,,,,,,,,,False
1998-03-25 19:30:00+00:00,,,,,,,,,False
1998-03-25 20:00:00+00:00,,,,,,,,,False
1998-03-25 20:30:00+00:00,,,,,,,,,False
1998-03-25 21:00:00+00:00,,,,,,,,,False
1998-03-25 21:30:00+00:00,,,,,,,,,False
1998-03-25 22:00:00+00:00,,,,,,,,,False
1998-03-25 22:30:00+00:00,,,,,,,,,False
1998-03-25 23:00:00+00:00,,,,,,,,,False
1998-03-25 23:30:00+00:00,,,,,,,,,False
1998-03-26 00:00:00+00:00,,,,,,,,,False
1998-03-26 00:30:00+00:00,,,,,,,,,False
1998-03-26 01:00:00+00:00,,,,,,,,,False
1998-03-26 01:30:00+00:00,,,,,,,,,False
1998-03-26 02:00:00+00:00,,,,,,,,,False
1998-03-26 02:30:00+00:00,,,,,,,,,False
1998-03-26 03:00:00+00:00,,,,,,,,,False
1998-03-26 03:30:00+00:00,,,,,,,,,False
1998-03-26 04:00:00+00:00,,,,,,,,,False
1998-03-26 04:30:00+00:00,,,,,,,,,False
1998-03-26 05:00:00+00:00,,,,,,,,,False
1998-03-26 05:30:00+00:00,,,,,,,,,False
1998-03-26 06:00:00+00:00,,,,,,,,,False
1998-03-26 06:30:00+00:00,,,,,,,,,False
