DateTime (Hour),"Air temperature, Ta [°C]","Rainfall, P [mm]",Relative Humidity [%],"Wind Speed, Ws [m/s]",Solar radiation [W/m2],VPD [Kpa]
'19-Apr-2017 09:00:00',13.57,0.0,92.10,0.579,61.87,1.48
'19-Apr-2017 10:00:00',13.87,0.0,90.95,0.269,133.70,1.50
'19-Apr-2017 11:00:00',15.69,0.0,83.18,0.555,292.81,1.63
'19-Apr-2017 12:00:00',18.90,0.2,70.40,0.672,467.25,1.91
'19-Apr-2017 13:00:00',21.45,0.0,63.64,1.002,504.50,2.22
'19-Apr-2017 14:00:00',25.59,0.0,43.96,2.134,487.38,2.76
'19-Apr-2017 15:00:00',26.37,0.0,39.93,2.577,363.45,2.85
'19-Apr-2017 16:00:00',26.61,0.0,38.00,2.637,290.99,2.88
'19-Apr-2017 17:00:00',26.00,0.0,40.45,2.314,115.94,2.78
'19-Apr-2017 18:00:00',24.49,0.0,43.63,1.392,23.80,2.53
'19-Apr-2017 19:00:00',21.17,0.0,56.16,0.002,0.29,2.10
'19-Apr-2017 20:00:00',19.46,0.0,63.77,0.000,0.00,1.91
'19-Apr-2017 21:00:00',19.00,0.0,65.60,0.001,0.00,1.86
'19-Apr-2017 22:00:00',18.83,0.0,66.14,0.002,0.00,1.85
'19-Apr-2017 23:00:00',17.25,0.0,71.52,0.000,0.00,1.70
'20-Apr-2017 00:00:00',15.12,0.0,81.07,0.000,0.00,1.54
'20-Apr-2017 01:00:00',14.43,0.0,84.58,0.000,0.00,1.50
'20-Apr-2017 02:00:00',14.13,0.0,86.03,0.000,0.00,1.48
'20-Apr-2017 03:00:00',14.98,0.0,83.66,0.020,0.00,1.56
'20-Apr-2017 04:00:00',20.83,0.0,53.04,0.884,0.00,2.03
'20-Apr-2017 05:00:00',19.25,0.0,54.88,0.054,0.00,1.80
'20-Apr-2017 06:00:00',18.55,0.0,54.22,0.115,0.00,1.71
'20-Apr-2017 07:00:00',14.96,0.0,73.93,0.565,0.20,1.47
'20-Apr-2017 08:00:00',13.73,0.0,80.23,0.255,8.43,1.39
'20-Apr-2017 09:00:00',17.91,0.0,61.26,0.894,42.01,1.71
'20-Apr-2017 10:00:00',22.65,0.0,44.18,3.676,76.74,2.20
'20-Apr-2017 11:00:00',23.90,0.0,41.63,3.919,313.31,2.40
'20-Apr-2017 12:00:00',24.86,0.0,39.11,4.444,455.50,2.55
'20-Apr-2017 13:00:00',25.67,0.0,37.59,4.235,480.38,2.68
'20-Apr-2017 14:00:00',25.68,0.0,38.05,4.084,356.09,2.69
'20-Apr-2017 15:00:00',25.31,0.0,40.11,3.758,275.60,2.64
'20-Apr-2017 16:00:00',25.55,0.0,39.55,3.318,241.71,2.68
'20-Apr-2017 17:00:00',24.96,0.0,41.88,1.711,98.71,2.59
'20-Apr-2017 18:00:00',23.81,0.0,45.04,0.742,30.52,2.41
'20-Apr-2017 19:00:00',22.26,0.0,49.47,0.031,0.24,2.19
'20-Apr-2017 20:00:00',20.52,0.0,55.11,0.000,0.00,1.97
'20-Apr-2017 21:00:00',19.64,0.0,57.72,0.000,0.00,1.87
'20-Apr-2017 22:00:00',19.08,0.0,58.65,0.050,0.00,1.81
'20-Apr-2017 23:00:00',18.77,0.0,58.96,0.140,0.00,1.76
'21-Apr-2017 00:00:00',18.39,0.0,60.77,0.135,0.00,1.73
'21-Apr-2017 01:00:00',18.17,0.0,61.43,0.084,0.00,1.71
'21-Apr-2017 02:00:00',18.30,0.0,62.07,0.202,0.00,1.74
'21-Apr-2017 03:00:00',17.32,0.0,69.50,0.054,0.00,1.69
'21-Apr-2017 04:00:00',15.85,0.4,86.09,0.001,0.00,1.68
'21-Apr-2017 05:00:00',15.49,0.6,90.53,0.003,0.00,1.68
'21-Apr-2017 06:00:00',15.34,1.0,92.80,0.011,0.00,1.68
'21-Apr-2017 07:00:00',15.13,1.0,92.43,0.005,0.03,1.65
'21-Apr-2017 08:00:00',15.43,2.4,92.00,0.194,2.41,1.68
'21-Apr-2017 09:00:00',15.80,1.8,91.65,0.298,20.06,1.72
'21-Apr-2017 10:00:00',16.26,0.2,91.60,0.108,62.45,1.77
'21-Apr-2017 11:00:00',17.00,0.6,90.65,0.166,85.58,1.85
'21-Apr-2017 12:00:00',18.73,0.0,82.42,1.968,188.60,2.01
'21-Apr-2017 13:00:00',20.18,0.0,69.22,5.384,238.13,2.07
'21-Apr-2017 14:00:00',20.60,0.0,66.10,5.209,213.40,2.10
'21-Apr-2017 15:00:00',20.26,0.0,66.11,4.608,114.45,2.04
'21-Apr-2017 16:00:00',19.76,0.0,67.27,5.301,112.70,1.99
'21-Apr-2017 17:00:00',18.60,0.0,73.27,5.783,30.43,1.89
'21-Apr-2017 18:00:00',18.44,0.0,73.47,4.935,7.78,1.87
'21-Apr-2017 19:00:00',17.45,0.0,81.89,3.422,0.16,1.82
'21-Apr-2017 20:00:00',17.11,0.0,85.08,2.939,0.00,1.81
'21-Apr-2017 21:00:00',17.12,0.0,84.93,2.790,0.00,1.81
'21-Apr-2017 22:00:00',17.34,0.0,83.23,3.107,0.00,1.82
'21-Apr-2017 23:00:00',17.88,0.0,78.36,2.883,0.00,1.84
'22-Apr-2017 00:00:00',17.89,0.0,78.26,3.918,0.00,1.84
'22-Apr-2017 01:00:00',17.61,0.0,79.37,2.925,0.00,1.81
'22-Apr-2017 02:00:00',17.54,0.0,78.86,2.482,0.00,1.80
'22-Apr-2017 03:00:00',17.60,0.0,77.17,2.799,0.00,1.79
'22-Apr-2017 04:00:00',17.60,0.0,76.26,2.677,0.00,1.78
'22-Apr-2017 05:00:00',17.55,0.2,76.86,2.459,0.00,1.78
'22-Apr-2017 06:00:00',17.28,0.0,79.03,2.461,0.00,1.77
'22-Apr-2017 07:00:00',17.00,0.0,81.38,2.619,0.05,1.75
'22-Apr-2017 08:00:00',17.13,0.0,80.71,2.584,8.38,1.77
'22-Apr-2017 09:00:00',17.73,0.0,77.51,2.861,46.35,1.81
'22-Apr-2017 10:00:00',19.22,0.0,72.05,3.590,96.43,1.96
'22-Apr-2017 11:00:00',20.42,0.0,67.92,3.717,290.00,2.09
'22-Apr-2017 12:00:00',20.71,0.0,67.27,2.753,207.29,2.13
'22-Apr-2017 13:00:00',21.49,0.0,64.34,2.355,286.05,2.22
'22-Apr-2017 14:00:00',22.15,0.0,61.01,2.719,334.15,2.30
'22-Apr-2017 15:00:00',22.72,0.0,57.89,2.945,382.36,2.36
'22-Apr-2017 16:00:00',22.23,0.0,59.17,2.601,239.93,2.29
'22-Apr-2017 17:00:00',21.11,0.0,67.28,0.274,54.47,2.21
'22-Apr-2017 18:00:00',18.67,3.6,85.31,0.102,11.09,2.04
'22-Apr-2017 19:00:00',17.58,0.0,93.75,0.000,0.23,1.95
'22-Apr-2017 20:00:00',17.62,0.0,93.40,0.008,0.00,1.96
'22-Apr-2017 21:00:00',17.18,0.0,94.33,0.000,0.00,1.91
'22-Apr-2017 22:00:00',16.99,0.0,94.45,0.000,0.00,1.88
'22-Apr-2017 23:00:00',16.29,0.0,94.70,0.000,0.00,1.80
'23-Apr-2017 00:00:00',15.94,0.0,95.00,0.125,0.00,1.77
'23-Apr-2017 01:00:00',16.56,0.0,93.35,0.013,0.00,1.82
'23-Apr-2017 02:00:00',16.50,0.0,90.85,0.083,0.00,1.79
'23-Apr-2017 03:00:00',16.43,0.0,89.38,0.256,0.00,1.77
'23-Apr-2017 04:00:00',16.02,0.0,89.45,0.641,0.00,1.72
'23-Apr-2017 05:00:00',15.61,0.0,91.73,0.524,0.00,1.70
'23-Apr-2017 06:00:00',14.91,0.0,93.88,0.008,0.00,1.64
'23-Apr-2017 07:00:00',15.12,0.0,93.90,0.139,0.08,1.66
'23-Apr-2017 08:00:00',15.72,0.0,91.38,0.382,16.81,1.71
'23-Apr-2017 09:00:00',16.76,0.0,86.38,1.169,91.38,1.79
'23-Apr-2017 10:00:00',17.50,0.0,82.00,0.555,110.21,1.83
'23-Apr-2017 11:00:00',18.55,0.0,76.69,1.363,262.69,1.93
'23-Apr-2017 12:00:00',19.85,0.0,70.04,0.834,334.31,2.05
'23-Apr-2017 13:00:00',20.40,0.0,68.74,0.713,443.08,2.13
'23-Apr-2017 14:00:00',21.14,0.2,63.06,0.643,392.69,2.18
'23-Apr-2017 15:00:00',21.78,0.0,59.11,1.013,474.38,2.24
'23-Apr-2017 16:00:00',21.13,0.0,60.86,1.226,394.94,2.14
'23-Apr-2017 17:00:00',20.26,0.0,65.30,1.078,171.04,2.05
'23-Apr-2017 18:00:00',19.01,0.0,74.25,0.113,20.14,1.96
'23-Apr-2017 19:00:00',17.00,0.0,86.48,0.020,0.23,1.82
'23-Apr-2017 20:00:00',16.12,0.0,92.45,0.001,0.00,1.76
'23-Apr-2017 21:00:00',15.44,0.0,94.28,0.000,0.00,1.70
'23-Apr-2017 22:00:00',15.17,0.0,95.23,0.000,0.00,1.68
'23-Apr-2017 23:00:00',15.14,0.0,95.60,0.036,0.00,1.68
'24-Apr-2017 00:00:00',15.17,0.0,95.58,0.000,0.00,1.68
'24-Apr-2017 01:00:00',15.44,0.0,95.85,0.002,0.00,1.72
'24-Apr-2017 02:00:00',15.45,0.0,95.60,0.000,0.00,1.72
'24-Apr-2017 03:00:00',15.52,0.0,94.13,0.001,0.00,1.71
'24-Apr-2017 04:00:00',15.59,0.0,93.23,0.001,0.00,1.71
'24-Apr-2017 05:00:00',15.37,0.0,93.35,0.004,0.00,1.69
'24-Apr-2017 06:00:00',15.25,0.0,91.65,0.011,0.00,1.65
'24-Apr-2017 07:00:00',15.19,0.0,91.10,0.072,0.06,1.64
'24-Apr-2017 08:00:00',15.24,1.8,92.45,0.043,3.98,1.66
'24-Apr-2017 09:00:00',15.39,0.0,94.78,0.000,29.17,1.70
'24-Apr-2017 10:00:00',15.83,0.6,93.33,0.764,71.20,1.74
'24-Apr-2017 11:00:00',17.24,0.0,87.65,0.525,236.25,1.86
'24-Apr-2017 12:00:00',19.36,0.0,76.22,0.819,400.94,2.04
'24-Apr-2017 13:00:00',21.51,0.0,65.71,1.736,487.88,2.26
'24-Apr-2017 14:00:00',22.81,0.0,60.75,2.818,413.61,2.40
'24-Apr-2017 15:00:00',22.73,0.0,59.62,2.692,171.99,2.38
'24-Apr-2017 16:00:00',23.13,0.0,57.93,2.120,206.05,2.43
'24-Apr-2017 17:00:00',22.69,0.0,59.99,1.445,73.71,2.37
'24-Apr-2017 18:00:00',21.87,0.0,64.42,0.373,13.53,2.28
'24-Apr-2017 19:00:00',20.03,0.0,74.59,0.481,0.11,2.12
'24-Apr-2017 20:00:00',18.73,0.0,82.60,0.115,0.00,1.99
'24-Apr-2017 21:00:00',18.09,0.0,87.98,0.537,0.00,1.97
'24-Apr-2017 22:00:00',17.50,0.0,91.73,0.553,0.00,1.92
'24-Apr-2017 23:00:00',17.40,0.0,90.68,0.831,0.00,1.90
'25-Apr-2017 00:00:00',16.83,3.6,92.70,0.343,0.00,1.85
'25-Apr-2017 01:00:00',16.57,9.2,95.05,0.103,0.00,1.84
'25-Apr-2017 02:00:00',16.46,3.2,95.88,0.000,0.00,1.83
'25-Apr-2017 03:00:00',16.57,1.8,96.18,0.039,0.00,1.85
'25-Apr-2017 04:00:00',16.80,1.0,95.00,1.627,0.00,1.87
'25-Apr-2017 05:00:00',16.96,0.8,92.35,2.779,0.00,1.86
'25-Apr-2017 06:00:00',17.09,1.6,91.10,3.419,0.00,1.86
'25-Apr-2017 07:00:00',16.97,1.0,91.73,2.859,0.03,1.86
'25-Apr-2017 08:00:00',16.90,0.6,91.55,2.920,2.77,1.85
'25-Apr-2017 09:00:00',16.60,1.0,91.68,1.176,13.33,1.81
'25-Apr-2017 10:00:00',16.57,0.0,91.70,0.584,68.93,1.81
'25-Apr-2017 11:00:00',16.34,2.4,91.88,0.541,69.65,1.79
'25-Apr-2017 12:00:00',15.64,2.0,94.00,0.840,92.28,1.72
'25-Apr-2017 13:00:00',15.95,0.2,92.05,0.870,161.39,1.74
'25-Apr-2017 14:00:00',15.64,1.8,91.53,1.261,146.99,1.71
'25-Apr-2017 15:00:00',16.57,0.0,83.00,0.675,198.26,1.74
'25-Apr-2017 16:00:00',16.61,0.0,77.08,0.830,96.95,1.68
'25-Apr-2017 17:00:00',16.59,0.0,74.50,0.042,67.85,1.66
'25-Apr-2017 18:00:00',16.20,0.0,77.93,0.246,27.36,1.64
'25-Apr-2017 19:00:00',15.01,0.0,84.60,0.179,0.20,1.56
'25-Apr-2017 20:00:00',13.96,0.0,89.70,0.000,0.00,1.50
'25-Apr-2017 21:00:00',13.70,0.0,90.35,0.973,0.00,1.48
'25-Apr-2017 22:00:00',14.76,2.6,85.00,2.970,0.00,1.54
'25-Apr-2017 23:00:00',13.66,0.6,88.23,1.445,0.00,1.45
'26-Apr-2017 00:00:00',13.68,0.0,84.85,1.632,0.00,1.42
'26-Apr-2017 01:00:00',13.66,0.0,80.50,1.782,0.00,1.38
'26-Apr-2017 02:00:00',13.59,0.0,81.55,1.434,0.00,1.38
'26-Apr-2017 03:00:00',13.59,0.0,78.12,2.404,0.00,1.35
'26-Apr-2017 04:00:00',13.35,0.0,78.34,2.563,0.00,1.32
'26-Apr-2017 05:00:00',11.01,4.6,89.08,2.943,0.00,1.23
'26-Apr-2017 06:00:00',10.47,2.0,91.63,0.609,0.00,1.19
'26-Apr-2017 07:00:00',10.13,3.4,92.23,0.177,0.05,1.17
'26-Apr-2017 08:00:00',9.98,0.8,92.73,0.234,2.72,1.16
'26-Apr-2017 09:00:00',10.34,0.2,88.15,1.105,45.63,1.15
'26-Apr-2017 10:00:00',11.54,0.0,80.81,1.659,111.30,1.20
'26-Apr-2017 11:00:00',13.30,0.0,64.53,3.056,292.55,1.21
'26-Apr-2017 12:00:00',13.98,0.0,56.24,4.931,420.50,1.19
'26-Apr-2017 13:00:00',13.71,0.0,55.41,4.544,277.88,1.16
'26-Apr-2017 14:00:00',13.42,0.0,56.01,4.286,321.26,1.14
'26-Apr-2017 15:00:00',13.72,0.0,50.60,3.731,414.10,1.11
'26-Apr-2017 16:00:00',12.33,0.2,54.94,3.171,223.43,1.02
'26-Apr-2017 17:00:00',12.19,0.0,50.97,3.547,72.23,0.96
'26-Apr-2017 18:00:00',11.06,0.0,56.83,2.380,10.08,0.91
'26-Apr-2017 19:00:00',10.31,0.0,65.54,1.681,0.13,0.92
'26-Apr-2017 20:00:00',9.41,0.0,68.32,0.842,0.00,0.88
'26-Apr-2017 21:00:00',7.97,0.0,76.50,0.331,0.00,0.85
'26-Apr-2017 22:00:00',8.40,0.0,79.14,0.635,0.00,0.92
'26-Apr-2017 23:00:00',8.62,0.0,77.85,1.185,0.00,0.92
'27-Apr-2017 00:00:00',8.80,0.0,81.08,0.861,0.00,0.95
'27-Apr-2017 01:00:00',8.90,0.4,81.51,1.908,0.00,0.98
'27-Apr-2017 02:00:00',8.83,0.2,83.23,0.793,0.00,0.98
'27-Apr-2017 03:00:00',8.84,0.4,84.10,1.479,0.00,0.99
'27-Apr-2017 04:00:00',8.63,0.2,85.35,0.750,0.00,0.99
'27-Apr-2017 05:00:00',8.13,0.0,87.95,0.021,0.00,0.98
'27-Apr-2017 06:00:00',9.21,0.0,81.02,1.367,0.00,0.99
'27-Apr-2017 07:00:00',9.34,0.0,80.75,0.716,0.08,1.00
'27-Apr-2017 08:00:00',9.37,0.0,82.58,1.178,8.42,1.01
'27-Apr-2017 09:00:00',10.16,0.0,78.66,1.664,51.54,1.04
'27-Apr-2017 10:00:00',11.00,0.0,78.20,1.370,111.08,1.11
'27-Apr-2017 11:00:00',11.63,0.0,74.38,2.066,163.05,1.14
'27-Apr-2017 12:00:00',12.70,0.0,69.10,1.198,371.13,1.19
'27-Apr-2017 13:00:00',13.46,0.0,65.68,1.532,207.60,1.23
'27-Apr-2017 14:00:00',13.67,0.0,62.53,1.587,181.15,1.22
'27-Apr-2017 15:00:00',13.95,0.2,57.86,1.949,223.14,1.20
'27-Apr-2017 16:00:00',13.69,0.0,62.03,1.393,157.60,1.21
'27-Apr-2017 17:00:00',12.76,0.0,70.29,0.860,72.26,1.19
'27-Apr-2017 18:00:00',12.01,0.0,74.31,0.170,11.66,1.16
'27-Apr-2017 19:00:00',11.31,0.0,84.08,0.055,0.11,1.20
'27-Apr-2017 20:00:00',10.88,0.2,91.25,0.464,0.00,1.22
'27-Apr-2017 21:00:00',10.78,0.0,91.28,1.790,0.00,1.21
'27-Apr-2017 22:00:00',10.81,0.0,90.23,2.360,0.00,1.20
'27-Apr-2017 23:00:00',10.99,0.2,87.98,2.381,0.00,1.20
'28-Apr-2017 00:00:00',11.13,0.2,87.80,2.163,0.00,1.21
'28-Apr-2017 01:00:00',11.06,0.0,89.50,2.233,0.00,1.22
'28-Apr-2017 02:00:00',10.95,0.0,90.58,2.524,0.00,1.22
'28-Apr-2017 03:00:00',11.26,0.0,88.43,2.399,0.00,1.23
'28-Apr-2017 04:00:00',11.36,0.0,88.08,2.689,0.00,1.23
'28-Apr-2017 05:00:00',11.42,0.0,87.48,2.696,0.00,1.23
'28-Apr-2017 06:00:00',11.60,0.0,86.73,2.426,0.00,1.24
'28-Apr-2017 07:00:00',11.96,0.0,85.33,2.815,0.06,1.26
'28-Apr-2017 08:00:00',12.28,0.0,84.30,2.129,8.36,1.28
'28-Apr-2017 09:00:00',13.43,0.0,80.06,1.897,74.64,1.35
'28-Apr-2017 10:00:00',14.58,0.0,76.25,1.527,103.81,1.43
'28-Apr-2017 11:00:00',15.22,0.0,75.71,1.202,129.50,1.50
'28-Apr-2017 12:00:00',15.47,0.0,77.63,0.785,109.31,1.55
'28-Apr-2017 13:00:00',16.15,0.0,77.15,0.690,92.43,1.62
'28-Apr-2017 14:00:00',16.67,0.0,78.35,0.666,125.00,1.69
'28-Apr-2017 15:00:00',17.69,0.0,74.32,0.687,181.19,1.78
'28-Apr-2017 16:00:00',17.94,0.2,72.80,0.702,166.05,1.80
'28-Apr-2017 17:00:00',17.74,0.0,72.76,0.502,71.00,1.78
'28-Apr-2017 18:00:00',17.29,0.0,75.73,0.332,13.87,1.74
'28-Apr-2017 19:00:00',16.85,0.0,79.18,0.555,0.13,1.72
'28-Apr-2017 20:00:00',16.79,0.0,78.41,0.497,0.00,1.70
'28-Apr-2017 21:00:00',16.49,0.0,79.86,0.569,0.00,1.68
'28-Apr-2017 22:00:00',16.19,0.0,82.28,0.635,0.00,1.67
'28-Apr-2017 23:00:00',15.96,0.0,83.95,0.621,0.00,1.66
'29-Apr-2017 00:00:00',15.68,0.0,83.93,0.866,0.00,1.63
'29-Apr-2017 01:00:00',15.47,0.0,80.91,0.846,0.00,1.58
'29-Apr-2017 02:00:00',15.40,0.0,80.97,0.802,0.00,1.57
'29-Apr-2017 03:00:00',15.15,0.0,82.30,1.222,0.00,1.56
'29-Apr-2017 04:00:00',15.11,0.0,82.05,0.980,0.00,1.55
'29-Apr-2017 05:00:00',14.81,0.0,85.28,0.891,0.00,1.55
'29-Apr-2017 06:00:00',14.43,0.0,91.00,0.719,0.00,1.56
'29-Apr-2017 07:00:00',14.40,0.0,91.15,0.295,0.05,1.56
'29-Apr-2017 08:00:00',14.65,0.0,89.08,0.533,6.41,1.56
'29-Apr-2017 09:00:00',15.13,0.0,87.53,0.617,48.46,1.60
'29-Apr-2017 10:00:00',15.87,0.0,84.65,0.689,101.09,1.66
'29-Apr-2017 11:00:00',16.73,0.0,79.72,0.836,198.35,1.72
'29-Apr-2017 12:00:00',16.94,0.0,78.05,0.835,253.03,1.75
'29-Apr-2017 13:00:00',18.27,0.2,69.90,1.043,386.84,1.83
'29-Apr-2017 14:00:00',17.09,0.0,76.35,0.717,124.35,1.75
'29-Apr-2017 15:00:00',15.89,0.0,85.55,1.489,208.86,1.68
'29-Apr-2017 16:00:00',16.56,0.0,75.85,1.634,175.45,1.66
'29-Apr-2017 17:00:00',16.56,0.0,72.15,1.116,95.68,1.62
'29-Apr-2017 18:00:00',15.82,0.0,73.95,0.082,17.64,1.55
'29-Apr-2017 19:00:00',14.99,0.0,78.44,0.222,0.08,1.50
'29-Apr-2017 20:00:00',13.73,0.0,83.38,0.000,0.00,1.41
'29-Apr-2017 21:00:00',13.34,0.0,85.05,0.000,0.00,1.39
'29-Apr-2017 22:00:00',13.45,0.0,84.08,0.000,0.00,1.39
'29-Apr-2017 23:00:00',13.53,0.0,84.00,0.010,0.00,1.40
'30-Apr-2017 00:00:00',13.58,0.0,84.18,0.000,0.00,1.40
'30-Apr-2017 01:00:00',13.66,0.0,84.20,0.001,0.00,1.42
'30-Apr-2017 02:00:00',13.82,0.0,84.15,0.000,0.00,1.43
'30-Apr-2017 03:00:00',13.70,0.0,86.78,0.068,0.00,1.45
'30-Apr-2017 04:00:00',13.75,0.0,86.68,0.048,0.00,1.45
'30-Apr-2017 05:00:00',13.77,0.0,87.20,0.057,0.00,1.45
'30-Apr-2017 06:00:00',13.85,0.0,82.75,0.146,0.00,1.42
'30-Apr-2017 07:00:00',13.80,0.0,77.11,0.530,0.05,1.36
'30-Apr-2017 08:00:00',13.79,0.0,73.04,0.121,7.68,1.32
'30-Apr-2017 09:00:00',14.02,0.2,68.62,0.173,42.02,1.31
'30-Apr-2017 10:00:00',14.47,0.0,65.42,0.343,81.04,1.33
'30-Apr-2017 11:00:00',14.71,0.0,62.87,0.622,137.43,1.32
'30-Apr-2017 12:00:00',15.40,0.0,60.95,0.442,200.86,1.38
'30-Apr-2017 13:00:00',15.77,0.0,61.17,0.478,254.88,1.43
'30-Apr-2017 14:00:00',15.86,0.0,61.64,0.659,291.29,1.45
'30-Apr-2017 15:00:00',16.87,0.0,58.55,0.856,365.29,1.54
'30-Apr-2017 16:00:00',16.59,0.0,59.68,0.790,245.45,1.51
'30-Apr-2017 17:00:00',16.92,0.0,55.20,2.200,58.70,1.50
'30-Apr-2017 18:00:00',16.42,0.0,56.43,2.220,7.75,1.44
'30-Apr-2017 19:00:00',15.73,0.0,58.00,1.261,0.05,1.38
'30-Apr-2017 20:00:00',15.03,0.0,58.98,1.524,0.00,1.31
'30-Apr-2017 21:00:00',14.86,0.0,56.93,1.565,0.00,1.27
'30-Apr-2017 22:00:00',14.92,0.0,56.85,2.000,0.00,1.27
'30-Apr-2017 23:00:00',15.15,0.0,56.39,2.438,0.00,1.29
'01-May-2017 00:00:00',15.40,0.0,55.37,2.999,0.00,1.31
'01-May-2017 01:00:00',15.01,0.0,57.31,3.303,0.00,1.29
'01-May-2017 02:00:00',14.31,0.0,60.84,3.434,0.00,1.25
'01-May-2017 03:00:00',14.39,0.0,60.85,3.037,0.00,1.25
'01-May-2017 04:00:00',14.42,0.0,61.42,3.469,0.00,1.26
'01-May-2017 05:00:00',14.60,0.0,60.82,3.027,0.00,1.28
'01-May-2017 06:00:00',15.02,0.0,58.37,3.422,0.00,1.30
'01-May-2017 07:00:00',14.97,0.0,58.86,2.635,0.02,1.30
'01-May-2017 08:00:00',14.98,0.0,59.34,2.854,1.68,1.30
'01-May-2017 09:00:00',15.38,0.0,59.10,4.613,17.61,1.34
'01-May-2017 10:00:00',15.50,0.0,60.59,4.581,62.13,1.37
'01-May-2017 11:00:00',16.24,0.0,59.86,5.341,271.73,1.46
'01-May-2017 12:00:00',17.89,0.0,56.05,5.749,485.75,1.62
'01-May-2017 13:00:00',18.33,0.0,54.61,4.685,305.00,1.67
'01-May-2017 14:00:00',18.22,0.0,55.25,4.923,192.65,1.66
'01-May-2017 15:00:00',18.66,0.0,55.06,3.987,198.85,1.71
'01-May-2017 16:00:00',19.09,0.0,54.06,4.152,221.35,1.76
'01-May-2017 17:00:00',18.52,0.0,56.23,3.898,60.31,1.70
'01-May-2017 18:00:00',17.25,0.0,65.20,1.948,2.83,1.66
'01-May-2017 19:00:00',14.84,0.4,85.65,0.619,0.02,1.55
'01-May-2017 20:00:00',13.41,0.0,86.20,0.682,0.00,1.41
'01-May-2017 21:00:00',13.37,0.4,88.28,0.445,0.00,1.43
'01-May-2017 22:00:00',12.24,1.6,90.75,0.427,0.00,1.34
'01-May-2017 23:00:00',12.33,0.4,91.50,0.204,0.00,1.35
'02-May-2017 00:00:00',12.42,0.2,92.30,0.877,0.00,1.37
'02-May-2017 01:00:00',12.47,0.0,91.25,0.417,0.00,1.36
'02-May-2017 02:00:00',12.25,0.0,80.46,0.232,0.00,1.25
'02-May-2017 03:00:00',12.21,0.0,78.88,0.247,0.00,1.22
'02-May-2017 04:00:00',11.81,0.0,80.50,0.195,0.00,1.20
'02-May-2017 05:00:00',11.80,0.0,80.98,0.211,0.00,1.20
'02-May-2017 06:00:00',11.30,0.0,81.58,0.242,0.00,1.16
'02-May-2017 07:00:00',10.87,0.0,82.23,0.393,0.04,1.13
'02-May-2017 08:00:00',10.55,0.0,82.80,1.063,13.69,1.11
'02-May-2017 09:00:00',11.73,0.0,76.56,1.070,58.04,1.16
'02-May-2017 10:00:00',12.61,0.0,72.36,1.152,75.73,1.20
'02-May-2017 11:00:00',13.42,0.0,68.50,1.504,277.28,1.25
'02-May-2017 12:00:00',14.46,0.0,63.03,1.363,374.08,1.30
'02-May-2017 13:00:00',14.57,0.0,60.38,1.541,377.91,1.29
'02-May-2017 14:00:00',13.62,1.0,67.37,1.700,221.33,1.30
'02-May-2017 15:00:00',11.41,0.6,80.47,1.078,124.19,1.19
'02-May-2017 16:00:00',12.90,0.0,71.11,2.128,302.49,1.24
'02-May-2017 17:00:00',13.03,0.0,62.38,1.822,79.05,1.15
'02-May-2017 18:00:00',12.24,0.0,61.26,1.888,8.60,1.05
'02-May-2017 19:00:00',10.71,0.0,66.91,0.570,0.08,0.97
'02-May-2017 20:00:00',9.42,0.0,71.73,0.009,0.00,0.91
'02-May-2017 21:00:00',8.51,0.0,75.33,0.000,0.00,0.87
'02-May-2017 22:00:00',8.29,0.0,77.68,0.001,0.00,0.88
'02-May-2017 23:00:00',7.78,0.0,80.98,0.000,0.00,0.88
'03-May-2017 00:00:00',7.39,0.0,84.28,0.000,0.00,0.88
'03-May-2017 01:00:00',7.15,0.0,84.53,0.039,0.00,0.87
'03-May-2017 02:00:00',7.06,0.0,86.15,0.578,0.00,0.87
'03-May-2017 03:00:00',7.24,0.0,87.08,0.857,0.00,0.90
'03-May-2017 04:00:00',6.99,0.0,87.90,1.009,0.00,0.89
'03-May-2017 05:00:00',7.38,0.0,86.38,1.336,0.00,0.90
'03-May-2017 06:00:00',7.24,0.0,86.43,1.774,0.00,0.89
'03-May-2017 07:00:00',6.89,0.0,87.58,2.028,0.05,0.87
'03-May-2017 08:00:00',6.96,0.0,87.48,1.820,17.19,0.88
'03-May-2017 09:00:00',8.25,0.0,83.45,1.941,58.43,0.94
'03-May-2017 10:00:00',10.39,0.0,76.11,1.136,76.15,1.04
'03-May-2017 11:00:00',12.67,0.0,69.76,1.001,299.59,1.20
'03-May-2017 12:00:00',14.15,0.0,60.78,0.943,438.50,1.26
'03-May-2017 13:00:00',14.07,0.0,63.75,0.610,154.36,1.27
'03-May-2017 14:00:00',13.56,0.0,64.98,0.578,110.31,1.23
'03-May-2017 15:00:00',14.09,0.0,63.09,0.766,157.45,1.26
'03-May-2017 16:00:00',14.21,0.0,61.43,0.730,162.25,1.25
'03-May-2017 17:00:00',13.80,0.0,64.24,0.567,47.65,1.23
'03-May-2017 18:00:00',13.00,0.0,68.76,1.262,6.69,1.19
'03-May-2017 19:00:00',12.28,0.0,71.36,1.038,0.03,1.15
'03-May-2017 20:00:00',11.82,0.0,73.52,0.000,0.00,1.13
'03-May-2017 21:00:00',11.59,0.0,73.90,0.000,0.00,1.12
'03-May-2017 22:00:00',11.27,0.0,73.95,0.002,0.00,1.09
'03-May-2017 23:00:00',9.78,0.0,81.50,0.156,0.00,1.04
