TIMESTAMP,Avg_R_W/m2,Temperature_C,Relative Humidity_%,VPD_kPa
2017-01-01 00:30:00,0.0,16.43303,82.01099,0.3360318132285799
2017-01-01 01:00:00,0.0,15.62035,84.24748,0.27937492023269456
2017-01-01 01:30:00,0.0,15.3345,85.10065,0.2594440865507989
2017-01-01 02:00:00,0.0,14.95046,87.52452,0.21193855909108175
2017-01-01 02:30:00,0.0,14.5455,91.05333,0.1480713464780244
2017-01-01 03:00:00,0.0,14.23609,93.04026,0.11290455249933962
2017-01-01 03:30:00,0.0,14.09947,93.64366,0.10220713285002613
2017-01-01 04:00:00,0.0,13.9875,93.99996,0.09577990650250427
2017-01-01 04:30:00,0.0,13.80824,94.10177,0.09306513013578088
2017-01-01 05:00:00,0.0,13.98833,93.85564,0.0980889995318817
2017-01-01 05:30:00,1.099154,13.92745,93.78115,0.0988866774161935
2017-01-01 06:00:00,11.01993,13.86142,94.44564,0.08794267836064558
2017-01-01 06:30:00,32.32496,13.81839,93.31621,0.10552964914563158
2017-01-01 07:00:00,66.99165,13.94773,92.68517,0.11646720126719878
2017-01-01 07:30:00,221.559,14.21101,90.59842,0.15226983198419172
2017-01-01 08:00:00,212.6446,14.94305,83.69361,0.2768874718575309
2017-01-01 08:30:00,157.1403,14.31561,89.91944,0.1643761488841141
2017-01-01 09:00:00,186.3632,14.53947,90.36134,0.15946195754830703
2017-01-01 09:30:00,242.1343,14.79362,87.57977,0.20887838048469395
2017-01-01 10:00:00,215.8358,14.65344,86.00312,0.23327480484264818
2017-01-01 10:30:00,407.1667,14.77157,87.71925,0.2062392319426623
2017-01-01 11:00:00,586.8703,16.61934,74.71941,0.47786645505558273
2017-01-01 11:30:00,375.0296,17.02178,69.8222,0.5851907292639433
2017-01-01 12:00:00,249.9866,16.52462,72.15675,0.5231471613672125
2017-01-01 12:30:00,331.8423,16.91351,70.75573,0.5632099924928929
2017-01-01 13:00:00,605.5528,16.94679,71.72673,0.5456597978267231
2017-01-01 13:30:00,552.8982,17.83858,67.8134,0.6571849292783214
2017-01-01 14:00:00,507.9173,17.72093,67.09048,0.6669849107872419
2017-01-01 14:30:00,498.7042,17.98836,65.61363,0.7087473197427377
2017-01-01 15:00:00,276.1322,18.14058,64.8801,0.7308239257355312
2017-01-01 15:30:00,182.8644,17.66061,64.75668,0.7115742466032695
2017-01-01 16:00:00,117.9024,16.8066,70.13118,0.5713500857114236
2017-01-01 16:30:00,160.1638,16.75576,68.1151,0.6079499132833025
2017-01-01 17:00:00,269.8367,17.31734,65.72129,0.6772628304880394
2017-01-01 17:30:00,371.556,17.75646,62.39929,0.7637701040849747
2017-01-01 18:00:00,266.0203,17.92006,58.40256,0.853701524893475
2017-01-01 18:30:00,274.5826,17.90958,55.65638,0.9094613420692064
2017-01-01 19:00:00,161.5833,17.208,58.87069,0.8070145711584268
2017-01-01 19:30:00,79.6853,16.48752,60.21652,0.7457302973404955
2017-01-01 20:00:00,5.05934,15.61233,66.68668,0.5905166946718285
2017-01-01 20:30:00,0.0,15.01918,71.58957,0.4847879384821697
2017-01-01 21:00:00,0.0,14.01506,77.2438,0.36391213505876435
2017-01-01 21:30:00,0.0,13.56721,80.89013,0.2968348330604297
2017-01-01 22:00:00,0.0,13.2461,80.5043,0.29655526577946717
2017-01-01 22:30:00,0.0,13.03942,81.37142,0.27956537526490266
2017-01-01 23:00:00,0.0,12.93943,82.13924,0.26629533440886194
2017-01-01 23:30:00,0.0,12.9498,82.69581,0.25817223880595136
2017-01-02 00:00:00,0.0,12.7702,83.006,0.25058061331343406
2017-01-02 00:30:00,0.0,12.68742,83.67563,0.23940444880106193
2017-01-02 01:00:00,0.0,12.73942,83.35152,0.24499124785997614
2017-01-02 01:30:00,0.0,12.36745,86.50157,0.1938463052335273
2017-01-02 02:00:00,0.0,12.04787,91.32279,0.12201711632837547
2017-01-02 02:30:00,0.0,11.91657,92.70641,0.10167699095704714
