TIMESTAMP,solar_TIMESTAMP,AUS_ELL_HB_HIG_Edi_Js_1,AUS_ELL_HB_HIG_Era_Js_2,AUS_ELL_HB_HIG_Edi_Js_3
2009-06-02T14:00:00Z,2009-06-02T23:47:47Z,NA,NA,NA
2009-06-02T14:30:00Z,2009-06-03T00:17:37Z,NA,NA,NA
2009-06-02T14:59:59Z,2009-06-03T00:47:36Z,NA,NA,NA
2009-06-02T15:30:00Z,2009-06-03T01:17:37Z,NA,NA,NA
2009-06-02T16:00:00Z,2009-06-03T01:47:37Z,NA,NA,NA
2009-06-02T16:29:59Z,2009-06-03T02:17:36Z,NA,NA,NA
2009-06-02T17:00:00Z,2009-06-03T02:47:37Z,NA,NA,NA
2009-06-02T17:30:00Z,2009-06-03T03:17:37Z,NA,NA,NA
2009-06-02T17:59:59Z,2009-06-03T03:47:36Z,NA,NA,NA
2009-06-02T18:30:00Z,2009-06-03T04:17:37Z,NA,NA,NA
2009-06-02T19:00:00Z,2009-06-03T04:47:37Z,NA,NA,NA
2009-06-02T19:29:59Z,2009-06-03T05:17:36Z,NA,NA,NA
2009-06-02T20:00:00Z,2009-06-03T05:47:37Z,NA,NA,NA
2009-06-02T20:30:00Z,2009-06-03T06:17:37Z,NA,NA,NA
2009-06-02T20:59:59Z,2009-06-03T06:47:36Z,NA,NA,NA
2009-06-02T21:30:00Z,2009-06-03T07:17:37Z,NA,NA,NA
2009-06-02T22:00:00Z,2009-06-03T07:47:37Z,NA,NA,NA
2009-06-02T22:29:59Z,2009-06-03T08:17:36Z,NA,NA,NA
2009-06-02T23:00:00Z,2009-06-03T08:47:37Z,NA,NA,NA
2009-06-02T23:30:00Z,2009-06-03T09:17:37Z,NA,NA,NA
2009-06-02T23:59:59Z,2009-06-03T09:47:36Z,NA,NA,NA
2009-06-03T00:30:00Z,2009-06-03T10:17:37Z,NA,NA,NA
2009-06-03T01:00:00Z,2009-06-03T10:47:37Z,NA,NA,NA
2009-06-03T01:29:59Z,2009-06-03T11:17:36Z,NA,NA,NA
2009-06-03T02:00:00Z,2009-06-03T11:47:37Z,NA,NA,NA
2009-06-03T02:30:00Z,2009-06-03T12:17:37Z,NA,NA,NA
2009-06-03T02:59:59Z,2009-06-03T12:47:36Z,NA,NA,NA
2009-06-03T03:30:00Z,2009-06-03T13:17:37Z,NA,NA,NA
2009-06-03T04:00:00Z,2009-06-03T13:47:37Z,NA,NA,NA
2009-06-03T04:29:59Z,2009-06-03T14:17:36Z,NA,NA,NA
2009-06-03T05:00:00Z,2009-06-03T14:47:37Z,NA,NA,NA
2009-06-03T05:30:00Z,2009-06-03T15:17:37Z,NA,NA,NA
