TIMESTAMP,solar_TIMESTAMP,USA_MOR_SF_Asa_Js_1,USA_MOR_SF_Asa_Js_2,USA_MOR_SF_Ltu_Js_3,USA_MOR_SF_Ltu_Js_4,USA_MOR_SF_Qru_Js_5,USA_MOR_SF_Qal_Js_6
2011-07-01T05:00:00Z,2011-06-30T23:10:28Z,2161.4881856069997,2955.49251306,5542.0710103302,NA,815.9963054043001,711.755900185
2011-07-01T06:00:00Z,2011-07-01T00:10:18Z,2221.247742081,2870.356733604,5295.3304559562,NA,805.4833891914,652.2842448705
2011-07-01T07:00:00Z,2011-07-01T01:10:18Z,2139.597802341,2609.114774232,5006.4549032676005,NA,789.4715098260001,680.1363430509999
2011-07-01T08:00:00Z,2011-07-01T02:10:18Z,2056.541673555,2796.948692976,4852.0387271784,NA,693.1380665916,745.0735417455
2011-07-01T09:00:00Z,2011-07-01T03:10:18Z,2234.966834364,2963.535225768,4273.2987369468,NA,621.0551157216001,639.1975594675
2011-07-01T10:00:00Z,2011-07-01T04:10:18Z,2021.547842283,2551.207236216,3625.6092619296,NA,595.0825103736,670.373679338
2011-07-01T11:00:00Z,2011-07-01T05:10:18Z,2020.0716938730002,2689.02278874,5404.0323076158,NA,929.444370087,858.8310974815
2011-07-01T12:00:00Z,2011-07-01T06:10:18Z,2588.850867081,4055.9404526999997,16704.166364151002,NA,1107.3282876612002,883.881796875
2011-07-01T13:00:00Z,2011-07-01T07:10:18Z,3317.354980029,4754.347763784,17768.888429202,NA,846.8550573132001,840.7777361225001
2011-07-01T14:00:00Z,2011-07-01T08:10:18Z,4750.265594523,6287.654547300001,27000.290731068002,NA,927.7943534391002,850.1999032174999
2011-07-01T15:00:00Z,2011-07-01T09:10:18Z,14193.96854256,14634.90912072,59603.389918224,NA,961.3747314432002,818.5680282175
2011-07-01T16:00:00Z,2011-07-01T10:10:18Z,19817.94305007,17520.4007748,65863.289418396,NA,938.5776299130001,834.460511544
2011-07-01T17:00:00Z,2011-07-01T11:10:18Z,19333.9899888,17270.4186216,64517.434467582,NA,1025.9809931781,881.8124218749999
2011-07-01T18:00:00Z,2011-07-01T12:10:18Z,20138.1275112,17729.175,68186.66920626,NA,1033.2250087308,897.3943229955
2011-07-01T19:00:00Z,2011-07-01T13:10:18Z,19102.43044848,17066.65280904,64340.571372492006,NA,957.8338318782002,767.724927354
2011-07-01T20:00:00Z,2011-07-01T14:10:18Z,23305.7827677,19636.68,75648.36926642401,NA,1033.1250573132002,841.2546076275
2011-07-01T21:00:00Z,2011-07-01T15:10:18Z,17708.42791062,15633.894567599998,57336.817144104,NA,913.6651643040001,810.028336986
2011-07-01T22:00:00Z,2011-07-01T16:10:18Z,9233.18727789,10112.710628555998,29045.88048081,NA,879.2048867349001,812.561385845
2011-07-01T23:00:00Z,2011-07-01T17:10:18Z,5114.584112601,6720.520703424,19202.531804202,NA,1107.3741667605002,821.5621111225
2011-07-02T00:00:00Z,2011-07-01T18:10:18Z,2213.289829032,4394.677612884,9486.1327325814,NA,938.9364716172,763.193770405
2011-07-02T01:00:00Z,2011-07-01T19:10:18Z,1876.72431474,3085.704044688,6024.2014641252,NA,793.9054175742001,682.547974229
2011-07-02T02:00:00Z,2011-07-01T20:10:18Z,1965.943891185,2770.071406848,4735.035277705801,NA,775.6225122825,605.1830876849999
2011-07-02T03:00:00Z,2011-07-01T21:10:18Z,2057.321724003,2667.84851712,3974.3050505274,NA,700.2493597134,661.143316581
2011-07-02T04:00:00Z,2011-07-01T22:10:18Z,1744.640443179,1749.992110272,3944.9896967495997,NA,725.8336293654002,574.804099815
2011-07-02T05:00:00Z,2011-07-01T23:10:18Z,1983.293891532,2510.467236216,3583.0586456604005,NA,637.2832832958001,199.4536124075
2011-07-02T06:00:00Z,2011-07-02T00:10:08Z,1367.991532023,1996.406230992,3236.7562396698,NA,560.9827131525,364.76077751850005
2011-07-02T07:00:00Z,2011-07-02T01:10:08Z,1777.5984480060001,2435.582261172,3306.1070097684,NA,728.989470522,611.9982999075
2011-07-02T08:00:00Z,2011-07-02T02:10:08Z,1222.181572659,1905.874522344,2998.9371277230002,NA,670.4900725998001,529.9254092825
2011-07-02T09:00:00Z,2011-07-02T03:10:08Z,1120.061431821,1940.151105048,2500.8985608576,NA,519.8420799693,531.6710044305
2011-07-02T10:00:00Z,2011-07-02T04:10:08Z,1602.3389619509999,2220.812562972,2874.6854554374,NA,623.7423324258001,487.36332777549995
2011-07-02T11:00:00Z,2011-07-02T05:10:08Z,2166.469314393,3152.677914684,7903.555032633,NA,1006.9066700307001,823.1273400185
2011-07-02T12:00:00Z,2011-07-02T06:10:08Z,2162.9223588150003,3904.964095764,15016.4804679288,NA,1268.2532456346,837.3103013055
2011-07-02T13:00:00Z,2011-07-02T07:10:08Z,3045.537147558,5093.684472432,19495.133592582,NA,1136.2158676305,827.831824743
2011-07-02T14:00:00Z,2011-07-02T08:10:08Z,5797.859294769,7756.210175855999,31035.308151972004,NA,1007.4523059519,797.516184817
2011-07-02T15:00:00Z,2011-07-02T09:10:08Z,10067.054163396,11567.747186304001,49889.23733143201,NA,1143.8531342784001,836.654823345
2011-07-02T16:00:00Z,2011-07-02T10:10:08Z,22356.94065513,22385.34316308,79386.729068118,NA,1030.3772142477,1031.295730993
2011-07-02T17:00:00Z,2011-07-02T11:10:08Z,30265.09514292,25648.13313696,80188.00705973401,NA,990.7161891351001,1065.4377789165
2011-07-02T18:00:00Z,2011-07-02T12:10:08Z,33629.906097299994,26370.37125168,82674.903614022,NA,863.3748861873001,987.6954426295001
2011-07-02T19:00:00Z,2011-07-02T13:10:08Z,36575.70989841,27257.49475044,85643.82313572001,NA,1030.8360073695,989.7841742085
2011-07-02T20:00:00Z,2011-07-02T14:10:08Z,28461.156871529998,23170.31200812,80662.50591277801,NA,1014.0736735824,877.9508203125
2011-07-02T21:00:00Z,2011-07-02T15:10:08Z,23336.662970880003,21131.35250724,78137.920747062,NA,797.2693539867001,838.859692979
2011-07-02T22:00:00Z,2011-07-02T16:10:08Z,16118.968524419999,17944.7709054,72195.706978302,NA,1011.4093965609001,835.053521104
2011-07-02T23:00:00Z,2011-07-02T17:10:08Z,8378.238044769,13855.77489552,59858.313848028,NA,986.8148092221002,843.276471433
2011-07-03T00:00:00Z,2011-07-02T18:10:08Z,3468.31746987,7188.358040628,26032.486320540003,NA,1060.0775136438,758.388104595
2011-07-03T01:00:00Z,2011-07-02T19:10:08Z,2210.01221763,3799.926255948,9983.193165759,NA,1051.5783711822,671.6388838610001
2011-07-03T02:00:00Z,2011-07-02T20:10:08Z,2260.904385159,3035.5540708080002,6600.7594630446,NA,777.2004328608,583.0340886205
