TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,ws,precip,swc_shallow,ppfd_in,ext_rad
2015-09-30T22:00:00Z,2015-09-30T23:27:53Z,,,,,,,,CALCULATED,CALCULATED
2015-09-30T23:00:00Z,2015-10-01T00:28:11Z,,,,,,,,CALCULATED,CALCULATED
2015-10-01T00:00:00Z,2015-10-01T01:28:11Z,,,,,,,,CALCULATED,CALCULATED
2015-10-01T01:00:00Z,2015-10-01T02:28:11Z,,,,,,,,CALCULATED,CALCULATED
2015-10-01T02:00:00Z,2015-10-01T03:28:11Z,,,,,,,,CALCULATED,CALCULATED
2015-10-01T03:00:00Z,2015-10-01T04:28:11Z,,,,,,,,CALCULATED,CALCULATED
2015-10-01T04:00:00Z,2015-10-01T05:28:11Z,,,,,,,,CALCULATED,CALCULATED
2015-10-01T05:00:00Z,2015-10-01T06:28:11Z,,,,,,,,CALCULATED,CALCULATED
2015-10-01T06:00:00Z,2015-10-01T07:28:11Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2015-10-01T07:00:00Z,2015-10-01T08:28:11Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2015-10-01T08:00:00Z,2015-10-01T09:28:11Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2015-10-01T09:00:00Z,2015-10-01T10:28:11Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2015-10-01T10:00:00Z,2015-10-01T11:28:11Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2015-10-01T11:00:00Z,2015-10-01T12:28:11Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2015-10-01T12:00:00Z,2015-10-01T13:28:11Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2015-10-01T13:00:00Z,2015-10-01T14:28:11Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2015-10-01T14:00:00Z,2015-10-01T15:28:11Z,,,,,,,,CALCULATED,CALCULATED
2015-10-01T15:00:00Z,2015-10-01T16:28:11Z,,,,,,,,CALCULATED,CALCULATED
2015-10-01T16:00:00Z,2015-10-01T17:28:11Z,,,,,,,,CALCULATED,CALCULATED
2015-10-01T17:00:00Z,2015-10-01T18:28:11Z,,,,,,,,CALCULATED,CALCULATED
