TIMESTAMP,TIMESTAMP_solar,AUS_MAR_HSW_HIG_Eob_Js_1,AUS_MAR_HSW_HIG_Eob_Js_2,AUS_MAR_HSW_HIG_Eob_Js_3,AUS_MAR_HSW_HIG_Ecy_Js_4
2010-02-28T14:00:10Z,2010-02-28T23:30:02Z,NA,NA,4.779139010178269,2.3587813842847893
2010-02-28T14:30:10Z,2010-03-01T00:00:14Z,NA,NA,3.6532002365740808,3.661618121361086
2010-02-28T15:00:10Z,2010-03-01T00:30:14Z,NA,NA,4.84617467953641,0.9265093536039585
2010-02-28T15:30:10Z,2010-03-01T01:00:14Z,NA,NA,5.0076269019859305,2.7491981880239162
2010-02-28T16:00:10Z,2010-03-01T01:30:14Z,NA,NA,3.756426044793876,2.161262254820498
2010-02-28T16:30:10Z,2010-03-01T02:00:14Z,NA,NA,3.5602262191899663,3.811637926304973
2010-02-28T17:00:10Z,2010-03-01T02:30:14Z,NA,NA,4.692779866720959,2.9244187919695226
2010-02-28T17:30:10Z,2010-03-01T03:00:14Z,NA,NA,4.908995363945968,1.8786041027248779
2010-02-28T18:00:10Z,2010-03-01T03:30:14Z,NA,NA,4.57187353071486,0.9809524403197534
2010-02-28T18:30:10Z,2010-03-01T04:00:14Z,NA,NA,4.529493632877817,0.9634251000561661
2010-02-28T19:00:10Z,2010-03-01T04:30:14Z,NA,NA,3.088397549132759,1.902069177465193
2010-02-28T19:30:10Z,2010-03-01T05:00:14Z,NA,NA,4.680260368455081,1.2935778160447557
2010-02-28T20:00:10Z,2010-03-01T05:30:14Z,NA,NA,4.272446767239104,3.785396431777436
2010-02-28T20:30:10Z,2010-03-01T06:00:14Z,NA,NA,3.405516059101386,3.993515365689951
2010-02-28T21:00:10Z,2010-03-01T06:30:14Z,NA,NA,4.330559252801899,1.4627374072107875
2010-02-28T21:30:10Z,2010-03-01T07:00:14Z,NA,NA,8.085922764078463,2.8684784661241562
2010-02-28T22:00:10Z,2010-03-01T07:30:14Z,NA,NA,12.636137416227138,2.563849868636504
2010-02-28T22:30:10Z,2010-03-01T08:00:14Z,NA,NA,18.172958835950993,2.5150098902966316
2010-02-28T23:00:10Z,2010-03-01T08:30:14Z,NA,NA,22.9550051447635,1.4812779947047405
2010-02-28T23:30:10Z,2010-03-01T09:00:14Z,NA,NA,26.12070212746539,1.4812779947047405
