TIMESTAMP,solar_TIMESTAMP,FIN_HYY_SME_Psy_Jt_1,FIN_HYY_SME_Psy_Jt_2,FIN_HYY_SME_Psy_Jt_3,FIN_HYY_SME_Bpe_Jt_4
2012-12-31T23:30:00Z,2013-01-01T01:02:36Z,NA,NA,NA,NA
2013-01-01T00:30:00Z,2013-01-01T02:02:36Z,NA,NA,NA,NA
2013-01-01T01:30:00Z,2013-01-01T03:02:36Z,NA,NA,NA,NA
2013-01-01T02:30:00Z,2013-01-01T04:02:36Z,NA,NA,NA,NA
2013-01-01T03:30:00Z,2013-01-01T05:02:36Z,NA,NA,NA,NA
2013-01-01T04:30:00Z,2013-01-01T06:02:36Z,NA,NA,NA,NA
2013-01-01T05:30:00Z,2013-01-01T07:02:36Z,NA,NA,NA,NA
2013-01-01T06:30:00Z,2013-01-01T08:02:36Z,NA,NA,NA,NA
2013-01-01T07:30:00Z,2013-01-01T09:02:36Z,NA,NA,NA,NA
2013-01-01T08:30:00Z,2013-01-01T10:02:36Z,NA,NA,NA,NA
2013-01-01T09:30:00Z,2013-01-01T11:02:36Z,NA,NA,NA,NA
2013-01-01T10:30:00Z,2013-01-01T12:02:36Z,NA,NA,NA,NA
2013-01-01T11:30:00Z,2013-01-01T13:02:36Z,NA,NA,NA,NA
2013-01-01T12:30:00Z,2013-01-01T14:02:36Z,NA,NA,NA,NA
2013-01-01T13:30:00Z,2013-01-01T15:02:36Z,NA,NA,NA,NA
2013-01-01T14:30:00Z,2013-01-01T16:02:36Z,NA,NA,NA,NA
2013-01-01T15:30:00Z,2013-01-01T17:02:36Z,NA,NA,NA,NA
2013-01-01T16:30:00Z,2013-01-01T18:02:36Z,NA,NA,NA,NA
2013-01-01T17:30:00Z,2013-01-01T19:02:36Z,NA,NA,NA,NA
2013-01-01T18:30:00Z,2013-01-01T20:02:36Z,NA,NA,NA,NA
2013-01-01T19:30:00Z,2013-01-01T21:02:36Z,NA,NA,NA,NA
2013-01-01T20:30:00Z,2013-01-01T22:02:36Z,NA,NA,NA,NA
2013-01-01T21:30:00Z,2013-01-01T23:02:36Z,NA,NA,NA,NA
2013-01-01T23:30:00Z,2013-01-02T01:02:11Z,NA,NA,NA,NA
2013-01-02T00:30:00Z,2013-01-02T02:02:11Z,NA,NA,NA,NA
2013-01-02T01:30:00Z,2013-01-02T03:02:11Z,NA,NA,NA,NA
2013-01-02T02:30:00Z,2013-01-02T04:02:11Z,NA,NA,NA,NA
2013-01-02T03:30:00Z,2013-01-02T05:02:11Z,NA,NA,NA,NA
2013-01-02T04:30:00Z,2013-01-02T06:02:11Z,NA,NA,NA,NA
2013-01-02T05:30:00Z,2013-01-02T07:02:11Z,NA,NA,NA,NA
2013-01-02T06:30:00Z,2013-01-02T08:02:11Z,NA,NA,NA,NA
2013-01-02T07:30:00Z,2013-01-02T09:02:11Z,NA,NA,NA,NA
2013-01-02T08:30:00Z,2013-01-02T10:02:11Z,NA,NA,NA,NA
2013-01-02T09:30:00Z,2013-01-02T11:02:11Z,NA,NA,NA,NA
2013-01-02T10:30:00Z,2013-01-02T12:02:11Z,NA,NA,NA,NA
2013-01-02T11:30:00Z,2013-01-02T13:02:11Z,NA,NA,NA,NA
2013-01-02T12:30:00Z,2013-01-02T14:02:11Z,NA,NA,NA,NA
2013-01-02T13:30:00Z,2013-01-02T15:02:11Z,NA,NA,NA,NA
2013-01-02T14:30:00Z,2013-01-02T16:02:11Z,NA,NA,NA,NA
2013-01-02T15:30:00Z,2013-01-02T17:02:11Z,NA,NA,NA,NA
2013-01-02T16:30:00Z,2013-01-02T18:02:11Z,NA,NA,NA,NA
2013-01-02T17:30:00Z,2013-01-02T19:02:11Z,NA,NA,NA,NA
2013-01-02T18:30:00Z,2013-01-02T20:02:11Z,NA,NA,NA,NA
2013-01-02T19:30:00Z,2013-01-02T21:02:11Z,NA,NA,NA,NA
2013-01-02T20:30:00Z,2013-01-02T22:02:11Z,NA,NA,NA,NA
2013-01-02T21:30:00Z,2013-01-02T23:02:11Z,NA,NA,NA,NA
2013-01-02T23:30:00Z,2013-01-03T01:01:46Z,NA,NA,NA,NA
2013-01-03T00:30:00Z,2013-01-03T02:01:46Z,NA,NA,NA,NA
2013-01-03T01:30:00Z,2013-01-03T03:01:46Z,NA,NA,NA,NA
2013-01-03T02:30:00Z,2013-01-03T04:01:46Z,NA,NA,NA,NA
2013-01-03T03:30:00Z,2013-01-03T05:01:46Z,NA,NA,NA,NA
2013-01-03T04:30:00Z,2013-01-03T06:01:46Z,NA,NA,NA,NA
2013-01-03T05:30:00Z,2013-01-03T07:01:46Z,NA,NA,NA,NA
2013-01-03T06:30:00Z,2013-01-03T08:01:46Z,NA,NA,NA,NA
2013-01-03T07:30:00Z,2013-01-03T09:01:46Z,NA,NA,NA,NA
2013-01-03T08:30:00Z,2013-01-03T10:01:46Z,NA,NA,NA,NA
2013-01-03T09:30:00Z,2013-01-03T11:01:46Z,NA,NA,NA,NA
2013-01-03T10:30:00Z,2013-01-03T12:01:46Z,NA,NA,NA,NA
2013-01-03T11:30:00Z,2013-01-03T13:01:46Z,NA,NA,NA,NA
2013-01-03T12:30:00Z,2013-01-03T14:01:46Z,NA,NA,NA,NA
2013-01-03T13:30:00Z,2013-01-03T15:01:46Z,NA,NA,NA,NA
2013-01-03T14:30:00Z,2013-01-03T16:01:46Z,NA,NA,NA,NA
2013-01-03T15:30:00Z,2013-01-03T17:01:46Z,NA,NA,NA,NA
2013-01-03T16:30:00Z,2013-01-03T18:01:46Z,NA,NA,NA,NA
2013-01-03T17:30:00Z,2013-01-03T19:01:46Z,NA,NA,NA,NA
2013-01-03T18:30:00Z,2013-01-03T20:01:46Z,NA,NA,NA,NA
2013-01-03T19:30:00Z,2013-01-03T21:01:46Z,NA,NA,NA,NA
2013-01-03T20:30:00Z,2013-01-03T22:01:46Z,NA,NA,NA,NA
2013-01-03T21:30:00Z,2013-01-03T23:01:46Z,NA,NA,NA,NA
2013-01-03T23:30:00Z,2013-01-04T01:01:21Z,NA,NA,NA,NA
2013-01-04T00:30:00Z,2013-01-04T02:01:21Z,NA,NA,NA,NA
2013-01-04T01:30:00Z,2013-01-04T03:01:21Z,NA,NA,NA,NA
2013-01-04T02:30:00Z,2013-01-04T04:01:21Z,NA,NA,NA,NA
2013-01-04T03:30:00Z,2013-01-04T05:01:21Z,NA,NA,NA,NA
2013-01-04T04:30:00Z,2013-01-04T06:01:21Z,NA,NA,NA,NA
2013-01-04T05:30:00Z,2013-01-04T07:01:21Z,NA,NA,NA,NA
2013-01-04T06:30:00Z,2013-01-04T08:01:21Z,NA,NA,NA,NA
2013-01-04T07:30:00Z,2013-01-04T09:01:21Z,NA,NA,NA,NA
2013-01-04T08:30:00Z,2013-01-04T10:01:21Z,NA,NA,NA,NA
2013-01-04T09:30:00Z,2013-01-04T11:01:21Z,NA,NA,NA,NA
2013-01-04T10:30:00Z,2013-01-04T12:01:21Z,NA,NA,NA,NA
2013-01-04T11:30:00Z,2013-01-04T13:01:21Z,NA,NA,NA,NA
2013-01-04T12:30:00Z,2013-01-04T14:01:21Z,NA,NA,NA,NA
2013-01-04T13:30:00Z,2013-01-04T15:01:21Z,NA,NA,NA,NA
2013-01-04T14:30:00Z,2013-01-04T16:01:21Z,NA,NA,NA,NA
2013-01-04T15:30:00Z,2013-01-04T17:01:21Z,NA,NA,NA,NA
2013-01-04T16:30:00Z,2013-01-04T18:01:21Z,NA,NA,NA,NA
2013-01-04T17:30:00Z,2013-01-04T19:01:21Z,NA,NA,NA,NA
2013-01-04T18:30:00Z,2013-01-04T20:01:21Z,NA,NA,NA,NA
2013-01-04T19:30:00Z,2013-01-04T21:01:21Z,NA,NA,NA,NA
