sp_basal_area_perc,sp_leaf_habit,sp_name,sp_ntrees,si_code
0.7,NA,Pouteria viridis,2,CRI_TAM_TOW
0.8,NA,Inga sp.,1,CRI_TAM_TOW
0.6,NA,Ampelocera macrocarpa,2,CRI_TAM_TOW
0.2,NA,Brosimum alicastrum,1,CRI_TAM_TOW
0.8,NA,Macrolobium costaricense,1,CRI_TAM_TOW
0.5,NA,Eschweillera sp.,1,CRI_TAM_TOW
0.05,NA,Trophis mexicana,1,CRI_TAM_TOW
0.1,NA,Pleuranthodendron lindenii,1,CRI_TAM_TOW
0.03,NA,Cupania macrophylla,1,CRI_TAM_TOW
43,NA,Mortoniodendron anisophyllum,2,CRI_TAM_TOW
0.2,NA,Aspidosperma desmanthum,1,CRI_TAM_TOW
5,NA,Otoba novogranatensis,2,CRI_TAM_TOW
1,NA,Genipa americana,1,CRI_TAM_TOW
11,NA,Pouteria sp.,1,CRI_TAM_TOW
0.2,NA,Gymnanthes riparia,3,CRI_TAM_TOW
0.3,NA,Meliosma idiopoda,2,CRI_TAM_TOW
1.1,NA,Carapa guianensis,3,CRI_TAM_TOW
